NAICS,GEO,YEAR,VALUE
Manufacturing,Prince Edward Island,2015,17
Manufacturing,Prince Edward Island,2016,18.13
Manufacturing,Prince Edward Island,2017,18.5
Manufacturing,Prince Edward Island,2018,18.42
Manufacturing,Prince Edward Island,2019,19.98
Manufacturing,Prince Edward Island,2020,20
Manufacturing,Prince Edward Island,2021,20.38
Manufacturing,Quebec,2012,20
Manufacturing,Quebec,2013,20
Manufacturing,Quebec,2014,20.51
Manufacturing,Quebec,2015,20.98
Manufacturing,Quebec,2016,21.35
Manufacturing,Quebec,2017,21.45
Manufacturing,Quebec,2018,22.25
Manufacturing,Quebec,2019,23.04
Manufacturing,Quebec,2020,24.78
Manufacturing,Quebec,2021,25
Manufacturing,Saskatchewan,2012,22.4
Manufacturing,Saskatchewan,2013,23
Manufacturing,Saskatchewan,2014,24.02
Manufacturing,Saskatchewan,2015,24.5
Manufacturing,Saskatchewan,2016,25.2
Manufacturing,Saskatchewan,2017,25.99
Manufacturing,Saskatchewan,2018,25
Manufacturing,Saskatchewan,2019,26
Manufacturing,Saskatchewan,2020,28.88
Manufacturing,Saskatchewan,2021,27.5
Other services (except public administration),Alberta,2012,19
Other services (except public administration),Alberta,2013,20
Other services (except public administration),Alberta,2014,21.69
Other services (except public administration),Alberta,2015,22.75
Other services (except public administration),Alberta,2016,22
Other services (except public administration),Alberta,2017,21.82
Other services (except public administration),Alberta,2018,23.88
Other services (except public administration),Alberta,2019,23.08
Other services (except public administration),Alberta,2020,26
Other services (except public administration),Alberta,2021,25.96
Other services (except public administration),British Columbia,2012,17.12
Other services (except public administration),British Columbia,2013,17.85
Other services (except public administration),British Columbia,2014,18.25
Other services (except public administration),British Columbia,2015,18
Other services (except public administration),British Columbia,2016,19.58
Other services (except public administration),British Columbia,2017,19.23
Other services (except public administration),British Columbia,2018,20
Other services (except public administration),British Columbia,2019,22.25
Other services (except public administration),British Columbia,2020,22.75
Other services (except public administration),British Columbia,2021,25
Other services (except public administration),Canada,2012,17.12
Other services (except public administration),Canada,2013,17.5
Other services (except public administration),Canada,2014,18
Other services (except public administration),Canada,2015,19
Other services (except public administration),Canada,2016,19.12
Other services (except public administration),Canada,2017,19.12
Other services (except public administration),Canada,2018,20
Other services (except public administration),Canada,2019,20.02
Other services (except public administration),Canada,2020,23.04
Other services (except public administration),Canada,2021,22.8
Other services (except public administration),Manitoba,2012,15.53
Other services (except public administration),Manitoba,2013,16.49
Other services (except public administration),Manitoba,2014,17.12
Other services (except public administration),Manitoba,2015,18
Other services (except public administration),Manitoba,2016,18.13
Other services (except public administration),Manitoba,2017,18.99
Other services (except public administration),Manitoba,2018,18.25
Other services (except public administration),Manitoba,2019,19.34
Other services (except public administration),Manitoba,2020,20
Other services (except public administration),Manitoba,2021,21.82
Other services (except public administration),New Brunswick,2012,15
Other services (except public administration),New Brunswick,2013,16.18
Other services (except public administration),New Brunswick,2014,15
Other services (except public administration),New Brunswick,2015,16
Other services (except public administration),New Brunswick,2016,17
Other services (except public administration),New Brunswick,2017,18.25
Other services (except public administration),New Brunswick,2018,18
Other services (except public administration),New Brunswick,2019,17.5
Other services (except public administration),New Brunswick,2020,17.87
Other services (except public administration),New Brunswick,2021,18.88
Other services (except public administration),Newfoundland and Labrador,2012,13.25
Other services (except public administration),Newfoundland and Labrador,2013,14.01
Other services (except public administration),Newfoundland and Labrador,2014,13.91
Other services (except public administration),Newfoundland and Labrador,2015,14.71
Other services (except public administration),Newfoundland and Labrador,2016,14.8
Other services (except public administration),Newfoundland and Labrador,2017,16.5
Other services (except public administration),Newfoundland and Labrador,2018,16.25
Other services (except public administration),Newfoundland and Labrador,2019,17.48
Other services (except public administration),Newfoundland and Labrador,2020,16.08
Other services (except public administration),Newfoundland and Labrador,2021,19.33
Other services (except public administration),Nova Scotia,2012,16
Other services (except public administration),Nova Scotia,2013,15
Other services (except public administration),Nova Scotia,2014,16.27
Other services (except public administration),Nova Scotia,2015,17.16
Other services (except public administration),Nova Scotia,2016,17
Other services (except public administration),Nova Scotia,2017,17.38
Other services (except public administration),Nova Scotia,2018,17.05
Other services (except public administration),Nova Scotia,2019,18.14
Other services (except public administration),Nova Scotia,2020,21.15
Other services (except public administration),Nova Scotia,2021,21.12
Other services (except public administration),Ontario,2012,17
Other services (except public administration),Ontario,2013,17.68
Other services (except public administration),Ontario,2014,17.88
Other services (except public administration),Ontario,2015,19.09
Other services (except public administration),Ontario,2016,18.48
Other services (except public administration),Ontario,2017,18.05
Other services (except public administration),Ontario,2018,20
Other services (except public administration),Ontario,2019,20.5
Other services (except public administration),Ontario,2020,24.02
Other services (except public administration),Ontario,2021,23.46
Other services (except public administration),Prince Edward Island,2012,14.3
Other services (except public administration),Prince Edward Island,2013,16.25
Other services (except public administration),Prince Edward Island,2014,15.5
Other services (except public administration),Prince Edward Island,2015,19.4
Other services (except public administration),Prince Edward Island,2016,16.5
Other services (except public administration),Prince Edward Island,2017,15.88
Other services (except public administration),Prince Edward Island,2018,20
Other services (except public administration),Prince Edward Island,2019,17.5
Other services (except public administration),Prince Edward Island,2020,16.98
Other services (except public administration),Prince Edward Island,2021,19
Other services (except public administration),Quebec,2012,17
Other services (except public administration),Quebec,2013,17
Other services (except public administration),Quebec,2014,17.34
Other services (except public administration),Quebec,2015,18
Other services (except public administration),Quebec,2016,18.88
Other services (except public administration),Quebec,2017,19
Other services (except public administration),Quebec,2018,18.72
Other services (except public administration),Quebec,2019,19.38
Other services (except public administration),Quebec,2020,22
Other services (except public administration),Quebec,2021,21.5
Other services (except public administration),Saskatchewan,2012,18.38
Other services (except public administration),Saskatchewan,2013,17.95
Other services (except public administration),Saskatchewan,2014,19.69
Other services (except public administration),Saskatchewan,2015,20
Other services (except public administration),Saskatchewan,2016,20
Other services (except public administration),Saskatchewan,2017,20.54
Other services (except public administration),Saskatchewan,2018,21.4
Other services (except public administration),Saskatchewan,2019,20.88
Other services (except public administration),Saskatchewan,2020,22
Other services (except public administration),Saskatchewan,2021,21.03
"Professional, scientific and technical services",Alberta,2012,29.16
"Professional, scientific and technical services",Alberta,2013,31.25
"Professional, scientific and technical services",Alberta,2014,31
"Professional, scientific and technical services",Alberta,2015,32.34
"Professional, scientific and technical services",Alberta,2016,33.1
"Professional, scientific and technical services",Alberta,2017,31.62
"Professional, scientific and technical services",Alberta,2018,33.47
"Professional, scientific and technical services",Alberta,2019,34
"Professional, scientific and technical services",Alberta,2020,35.64
"Professional, scientific and technical services",Alberta,2021,34.81
"Professional, scientific and technical services",British Columbia,2012,26.71
"Professional, scientific and technical services",British Columbia,2013,28.74
"Professional, scientific and technical services",British Columbia,2014,26.22
"Professional, scientific and technical services",British Columbia,2015,28.66
"Professional, scientific and technical services",British Columbia,2016,28.5
"Professional, scientific and technical services",British Columbia,2017,28.85
"Professional, scientific and technical services",British Columbia,2018,29.67
"Professional, scientific and technical services",British Columbia,2019,30.16
"Professional, scientific and technical services",British Columbia,2020,33.65
"Professional, scientific and technical services",British Columbia,2021,35.08
"Professional, scientific and technical services",Canada,2012,26.44
"Professional, scientific and technical services",Canada,2013,26.67
"Professional, scientific and technical services",Canada,2014,27.35
"Professional, scientific and technical services",Canada,2015,28.1
"Professional, scientific and technical services",Canada,2016,29.96
"Professional, scientific and technical services",Canada,2017,28.92
"Professional, scientific and technical services",Canada,2018,30
"Professional, scientific and technical services",Canada,2019,31.25
"Professional, scientific and technical services",Canada,2020,33.65
"Professional, scientific and technical services",Canada,2021,33.65
"Professional, scientific and technical services",Manitoba,2012,22.88
"Professional, scientific and technical services",Manitoba,2013,23
"Professional, scientific and technical services",Manitoba,2014,22.72
"Professional, scientific and technical services",Manitoba,2015,22.08
"Professional, scientific and technical services",Manitoba,2016,24.88
"Professional, scientific and technical services",Manitoba,2017,25
"Professional, scientific and technical services",Manitoba,2018,24.16
"Professional, scientific and technical services",Manitoba,2019,27.88
"Professional, scientific and technical services",Manitoba,2020,26.68
"Professional, scientific and technical services",Manitoba,2021,29.72
"Professional, scientific and technical services",New Brunswick,2012,21.63
"Professional, scientific and technical services",New Brunswick,2013,20.6
"Professional, scientific and technical services",New Brunswick,2014,24.72
"Professional, scientific and technical services",New Brunswick,2015,24.4
"Professional, scientific and technical services",New Brunswick,2016,25
"Professional, scientific and technical services",New Brunswick,2017,24.14
"Professional, scientific and technical services",New Brunswick,2018,24.17
"Professional, scientific and technical services",New Brunswick,2019,27.02
"Professional, scientific and technical services",New Brunswick,2020,30
"Professional, scientific and technical services",New Brunswick,2021,28.33
"Professional, scientific and technical services",Newfoundland and Labrador,2012,27.23
"Professional, scientific and technical services",Newfoundland and Labrador,2013,25.03
"Professional, scientific and technical services",Newfoundland and Labrador,2014,27.4
"Professional, scientific and technical services",Newfoundland and Labrador,2015,27.52
"Professional, scientific and technical services",Newfoundland and Labrador,2016,25.79
"Professional, scientific and technical services",Newfoundland and Labrador,2017,27.74
"Professional, scientific and technical services",Newfoundland and Labrador,2018,29.5
"Professional, scientific and technical services",Newfoundland and Labrador,2019,30.95
"Professional, scientific and technical services",Newfoundland and Labrador,2020,29.78
"Professional, scientific and technical services",Newfoundland and Labrador,2021,30.25
"Professional, scientific and technical services",Nova Scotia,2012,22.31
"Professional, scientific and technical services",Nova Scotia,2013,22.53
"Professional, scientific and technical services",Nova Scotia,2014,25
"Professional, scientific and technical services",Nova Scotia,2015,23.2
"Professional, scientific and technical services",Nova Scotia,2016,26.1
"Professional, scientific and technical services",Nova Scotia,2017,25.43
"Professional, scientific and technical services",Nova Scotia,2018,25.48
"Professional, scientific and technical services",Nova Scotia,2019,26.99
"Professional, scientific and technical services",Nova Scotia,2020,27.25
"Professional, scientific and technical services",Nova Scotia,2021,29.64
"Professional, scientific and technical services",Ontario,2012,27.29
"Professional, scientific and technical services",Ontario,2013,27.82
"Professional, scientific and technical services",Ontario,2014,28.49
"Professional, scientific and technical services",Ontario,2015,28.78
"Professional, scientific and technical services",Ontario,2016,31.25
"Professional, scientific and technical services",Ontario,2017,30.64
"Professional, scientific and technical services",Ontario,2018,30
"Professional, scientific and technical services",Ontario,2019,32.45
"Professional, scientific and technical services",Ontario,2020,34.8
"Professional, scientific and technical services",Ontario,2021,35.36
"Professional, scientific and technical services",Prince Edward Island,2012,20.38
"Professional, scientific and technical services",Prince Edward Island,2013,19.04
"Professional, scientific and technical services",Prince Edward Island,2014,21.3
"Professional, scientific and technical services",Prince Edward Island,2015,21.5
"Professional, scientific and technical services",Prince Edward Island,2016,23.28
"Professional, scientific and technical services",Prince Edward Island,2017,23.66
"Professional, scientific and technical services",Prince Edward Island,2018,25
"Professional, scientific and technical services",Prince Edward Island,2019,23.08
"Professional, scientific and technical services",Prince Edward Island,2020,24.04
"Professional, scientific and technical services",Prince Edward Island,2021,25
"Professional, scientific and technical services",Quebec,2012,25
"Professional, scientific and technical services",Quebec,2013,23.8
"Professional, scientific and technical services",Quebec,2014,25.88
"Professional, scientific and technical services",Quebec,2015,25.82
"Professional, scientific and technical services",Quebec,2016,27.5
"Professional, scientific and technical services",Quebec,2017,26.48
"Professional, scientific and technical services",Quebec,2018,28.85
"Professional, scientific and technical services",Quebec,2019,29.81
"Professional, scientific and technical services",Quebec,2020,31.98
"Professional, scientific and technical services",Quebec,2021,30.26
"Professional, scientific and technical services",Saskatchewan,2012,25
"Professional, scientific and technical services",Saskatchewan,2013,26.16
"Professional, scientific and technical services",Saskatchewan,2014,26.36
"Professional, scientific and technical services",Saskatchewan,2015,29
"Professional, scientific and technical services",Saskatchewan,2016,28.78
"Professional, scientific and technical services",Saskatchewan,2017,28.36
"Professional, scientific and technical services",Saskatchewan,2018,29.16
"Professional, scientific and technical services",Saskatchewan,2019,30.28
"Professional, scientific and technical services",Saskatchewan,2020,31.25
"Professional, scientific and technical services",Saskatchewan,2021,28.92
Public administration,Alberta,2012,31.88
Public administration,Alberta,2013,31.72
Public administration,Alberta,2014,33.85
Public administration,Alberta,2015,34.91
Public administration,Alberta,2016,37.09
Public administration,Alberta,2017,38.86
Public administration,Alberta,2018,37.81
Public administration,Alberta,2019,40
Public administration,Alberta,2020,41.6
Public administration,Alberta,2021,40.02
Public administration,British Columbia,2012,30
Public administration,British Columbia,2013,31.12
Public administration,British Columbia,2014,30.84
Public administration,British Columbia,2015,32.98
Public administration,British Columbia,2016,33.33
Public administration,British Columbia,2017,31.75
Public administration,British Columbia,2018,34.22
Public administration,British Columbia,2019,35
Public administration,British Columbia,2020,36.9
Public administration,British Columbia,2021,36.69
Public administration,Canada,2012,30
Public administration,Canada,2013,30.73
Public administration,Canada,2014,31.08
Public administration,Canada,2015,32.67
Public administration,Canada,2016,33
Public administration,Canada,2017,33.42
Public administration,Canada,2018,34.36
Public administration,Canada,2019,35.49
Public administration,Canada,2020,36.87
Public administration,Canada,2021,37.64
Public administration,Manitoba,2012,25.96
Public administration,Manitoba,2013,27.52
Public administration,Manitoba,2014,28.44
Public administration,Manitoba,2015,28.75
Public administration,Manitoba,2016,30
Public administration,Manitoba,2017,30.52
Public administration,Manitoba,2018,31.14
Public administration,Manitoba,2019,32.16
Public administration,Manitoba,2020,33.66
Public administration,Manitoba,2021,34
Public administration,New Brunswick,2012,24.98
Public administration,New Brunswick,2013,27.14
Public administration,New Brunswick,2014,26.27
Public administration,New Brunswick,2015,28.21
Public administration,New Brunswick,2016,27.98
Public administration,New Brunswick,2017,28.3
Public administration,New Brunswick,2018,30.06
Public administration,New Brunswick,2019,30
Public administration,New Brunswick,2020,31.44
Public administration,New Brunswick,2021,31.04
Public administration,Newfoundland and Labrador,2012,26.65
Public administration,Newfoundland and Labrador,2013,28.38
Public administration,Newfoundland and Labrador,2014,27.5
Public administration,Newfoundland and Labrador,2015,29.62
Public administration,Newfoundland and Labrador,2016,29.09
Public administration,Newfoundland and Labrador,2017,28
Public administration,Newfoundland and Labrador,2018,30.88
Public administration,Newfoundland and Labrador,2019,30.07
Public administration,Newfoundland and Labrador,2020,30.22
Public administration,Newfoundland and Labrador,2021,31.12
Public administration,Nova Scotia,2012,27.12
Public administration,Nova Scotia,2013,28.57
Public administration,Nova Scotia,2014,28.78
Public administration,Nova Scotia,2015,29
Public administration,Nova Scotia,2016,28.84
Public administration,Nova Scotia,2017,32.08
Public administration,Nova Scotia,2018,31.63
Public administration,Nova Scotia,2019,32.84
Public administration,Nova Scotia,2020,31.94
Public administration,Nova Scotia,2021,35.45
Public administration,Ontario,2012,32.5
Public administration,Ontario,2013,32.96
Public administration,Ontario,2014,33.83
Public administration,Ontario,2015,35.39
Public administration,Ontario,2016,34.94
Public administration,Ontario,2017,35.69
Public administration,Ontario,2018,37
Public administration,Ontario,2019,38.46
Public administration,Ontario,2020,40.69
Public administration,Ontario,2021,39.95
Public administration,Prince Edward Island,2012,25.64
Public administration,Prince Edward Island,2013,25.82
Public administration,Prince Edward Island,2014,25.82
Public administration,Prince Edward Island,2015,26.84
Public administration,Prince Edward Island,2016,28.1
Public administration,Prince Edward Island,2017,28
Public administration,Prince Edward Island,2018,29.87
Public administration,Prince Edward Island,2019,29
Public administration,Prince Edward Island,2020,31.51
Public administration,Prince Edward Island,2021,31.66
Public administration,Quebec,2012,26
Public administration,Quebec,2013,28.01
Public administration,Quebec,2014,28.1
Public administration,Quebec,2015,29.74
Public administration,Quebec,2016,30.77
Public administration,Quebec,2017,30.18
Public administration,Quebec,2018,31.75
Public administration,Quebec,2019,33
Public administration,Quebec,2020,33.65
Public administration,Quebec,2021,35.58
Public administration,Saskatchewan,2012,28.08
Public administration,Saskatchewan,2013,29.74
Public administration,Saskatchewan,2014,30.34
Public administration,Saskatchewan,2015,31
Public administration,Saskatchewan,2016,32.02
Public administration,Saskatchewan,2017,33
Public administration,Saskatchewan,2018,32.52
Public administration,Saskatchewan,2019,32.7
Public administration,Saskatchewan,2020,33.84
Public administration,Saskatchewan,2021,35.53
Services-producing sector,Alberta,2012,21.08
Services-producing sector,Alberta,2013,22.6
Services-producing sector,Alberta,2014,22.95
Services-producing sector,Alberta,2015,24
Services-producing sector,Alberta,2016,24
Services-producing sector,Alberta,2017,24.07
Services-producing sector,Alberta,2018,25
Services-producing sector,Alberta,2019,25
Services-producing sector,Alberta,2020,27
Services-producing sector,Alberta,2021,26.44
Services-producing sector,British Columbia,2012,20
Services-producing sector,British Columbia,2013,21
Services-producing sector,British Columbia,2014,21
Services-producing sector,British Columbia,2015,21.86
Services-producing sector,British Columbia,2016,21.81
Services-producing sector,British Columbia,2017,22
Services-producing sector,British Columbia,2018,22.86
Services-producing sector,British Columbia,2019,24
Services-producing sector,British Columbia,2020,25.5
Services-producing sector,British Columbia,2021,25.84
Services-producing sector,Canada,2012,20
Services-producing sector,Canada,2013,20
Services-producing sector,Canada,2014,20.39
Services-producing sector,Canada,2015,21
Services-producing sector,Canada,2016,21.62
Services-producing sector,Canada,2017,22
Services-producing sector,Canada,2018,22.32
Services-producing sector,Canada,2019,23.08
Services-producing sector,Canada,2020,25
Services-producing sector,Canada,2021,25.27
Services-producing sector,Manitoba,2012,18.38
Services-producing sector,Manitoba,2013,18.6
Services-producing sector,Manitoba,2014,19.19
Services-producing sector,Manitoba,2015,19.45
Services-producing sector,Manitoba,2016,20
Services-producing sector,Manitoba,2017,20
Services-producing sector,Manitoba,2018,20.25
Services-producing sector,Manitoba,2019,21
Services-producing sector,Manitoba,2020,22.06
Services-producing sector,Manitoba,2021,22.8
Services-producing sector,New Brunswick,2012,17
Services-producing sector,New Brunswick,2013,17.21
Services-producing sector,New Brunswick,2014,17.76
Services-producing sector,New Brunswick,2015,18
Services-producing sector,New Brunswick,2016,18
Services-producing sector,New Brunswick,2017,19.23
Services-producing sector,New Brunswick,2018,19.23
Services-producing sector,New Brunswick,2019,20
Services-producing sector,New Brunswick,2020,21
Services-producing sector,New Brunswick,2021,22.28
Services-producing sector,Newfoundland and Labrador,2012,19.06
Services-producing sector,Newfoundland and Labrador,2013,19.23
Services-producing sector,Newfoundland and Labrador,2014,19.86
Services-producing sector,Newfoundland and Labrador,2015,19
Services-producing sector,Newfoundland and Labrador,2016,19.54
Services-producing sector,Newfoundland and Labrador,2017,20.1
Services-producing sector,Newfoundland and Labrador,2018,21
Services-producing sector,Newfoundland and Labrador,2019,21.29
Services-producing sector,Newfoundland and Labrador,2020,22.12
Services-producing sector,Newfoundland and Labrador,2021,23
Services-producing sector,Nova Scotia,2012,17.02
Services-producing sector,Nova Scotia,2013,17.5
Services-producing sector,Nova Scotia,2014,18
Services-producing sector,Nova Scotia,2015,18.58
Services-producing sector,Nova Scotia,2016,19
Services-producing sector,Nova Scotia,2017,19.37
Services-producing sector,Nova Scotia,2018,19.49
Services-producing sector,Nova Scotia,2019,19.88
Services-producing sector,Nova Scotia,2020,21.86
Services-producing sector,Nova Scotia,2021,21.84
Services-producing sector,Ontario,2012,20.17
Services-producing sector,Ontario,2013,20.54
Services-producing sector,Ontario,2014,20.93
Services-producing sector,Ontario,2015,21.52
Services-producing sector,Ontario,2016,22
Services-producing sector,Ontario,2017,22.12
Services-producing sector,Ontario,2018,22.93
Services-producing sector,Ontario,2019,23.8
Services-producing sector,Ontario,2020,25.89
Services-producing sector,Ontario,2021,26.24
Services-producing sector,Prince Edward Island,2012,17.98
Services-producing sector,Prince Edward Island,2013,18
Services-producing sector,Prince Edward Island,2014,18
Services-producing sector,Prince Edward Island,2015,18.73
Services-producing sector,Prince Edward Island,2016,18.94
Services-producing sector,Prince Edward Island,2017,19.23
Services-producing sector,Prince Edward Island,2018,20
Services-producing sector,Prince Edward Island,2019,20
Services-producing sector,Prince Edward Island,2020,22.05
Services-producing sector,Prince Edward Island,2021,22.75
Services-producing sector,Quebec,2012,19
Services-producing sector,Quebec,2013,19.32
Services-producing sector,Quebec,2014,20
Services-producing sector,Quebec,2015,20
Services-producing sector,Quebec,2016,20.49
Services-producing sector,Quebec,2017,21
Services-producing sector,Quebec,2018,21.56
Services-producing sector,Quebec,2019,22.5
Services-producing sector,Quebec,2020,24.55
Services-producing sector,Quebec,2021,24.88
Services-producing sector,Saskatchewan,2012,19.94
Services-producing sector,Saskatchewan,2013,20.51
Services-producing sector,Saskatchewan,2014,21
Services-producing sector,Saskatchewan,2015,21.63
Services-producing sector,Saskatchewan,2016,22.15
Services-producing sector,Saskatchewan,2017,22.66
Services-producing sector,Saskatchewan,2018,23
Services-producing sector,Saskatchewan,2019,23.04
Services-producing sector,Saskatchewan,2020,24.36
Services-producing sector,Saskatchewan,2021,24.18
"Total employees, all industries",Alberta,2012,23.34
"Total employees, all industries",Alberta,2013,24.04
"Total employees, all industries",Alberta,2014,25
"Total employees, all industries",Alberta,2015,25.32
"Total employees, all industries",Alberta,2016,25.64
"Total employees, all industries",Alberta,2017,25.98
"Total employees, all industries",Alberta,2018,26.49
"Total employees, all industries",Alberta,2019,27
"Total employees, all industries",Alberta,2020,28.85
"Total employees, all industries",Alberta,2021,28.85
"Total employees, all industries",British Columbia,2012,21
"Total employees, all industries",British Columbia,2013,21.84
"Total employees, all industries",British Columbia,2014,22
"Total employees, all industries",British Columbia,2015,22.66
"Total employees, all industries",British Columbia,2016,22.72
"Total employees, all industries",British Columbia,2017,23
"Total employees, all industries",British Columbia,2018,23.89
"Total employees, all industries",British Columbia,2019,25
"Total employees, all industries",British Columbia,2020,26.15
"Total employees, all industries",British Columbia,2021,26.92
"Total employees, all industries",Canada,2012,20.19
"Total employees, all industries",Canada,2013,20.97
"Total employees, all industries",Canada,2014,21.09
"Total employees, all industries",Canada,2015,21.76
"Total employees, all industries",Canada,2016,22.1
"Total employees, all industries",Canada,2017,22.56
"Total employees, all industries",Canada,2018,23.08
"Total employees, all industries",Canada,2019,24
"Total employees, all industries",Canada,2020,25.64
"Total employees, all industries",Canada,2021,26
"Total employees, all industries",Manitoba,2012,18.83
"Total employees, all industries",Manitoba,2013,19
"Total employees, all industries",Manitoba,2014,19.36
"Total employees, all industries",Manitoba,2015,19.92
"Total employees, all industries",Manitoba,2016,20
"Total employees, all industries",Manitoba,2017,20.78
"Total employees, all industries",Manitoba,2018,21
"Total employees, all industries",Manitoba,2019,21.49
"Total employees, all industries",Manitoba,2020,22.75
"Total employees, all industries",Manitoba,2021,23.1
"Total employees, all industries",New Brunswick,2012,17.33
"Total employees, all industries",New Brunswick,2013,17.58
"Total employees, all industries",New Brunswick,2014,18
"Total employees, all industries",New Brunswick,2015,18.56
"Total employees, all industries",New Brunswick,2016,18.97
"Total employees, all industries",New Brunswick,2017,19.63
"Total employees, all industries",New Brunswick,2018,19.9
"Total employees, all industries",New Brunswick,2019,20.39
"Total employees, all industries",New Brunswick,2020,21
"Total employees, all industries",New Brunswick,2021,22.34
"Total employees, all industries",Newfoundland and Labrador,2012,19.75
"Total employees, all industries",Newfoundland and Labrador,2013,20.1
"Total employees, all industries",Newfoundland and Labrador,2014,21.26
"Total employees, all industries",Newfoundland and Labrador,2015,21
"Total employees, all industries",Newfoundland and Labrador,2016,20.79
"Total employees, all industries",Newfoundland and Labrador,2017,21.88
"Total employees, all industries",Newfoundland and Labrador,2018,22
"Total employees, all industries",Newfoundland and Labrador,2019,22.9
"Total employees, all industries",Newfoundland and Labrador,2020,24
"Total employees, all industries",Newfoundland and Labrador,2021,24.9
"Total employees, all industries",Nova Scotia,2012,17.58
"Total employees, all industries",Nova Scotia,2013,18
"Total employees, all industries",Nova Scotia,2014,18.83
"Total employees, all industries",Nova Scotia,2015,19
"Total employees, all industries",Nova Scotia,2016,19.48
"Total employees, all industries",Nova Scotia,2017,20
"Total employees, all industries",Nova Scotia,2018,20
"Total employees, all industries",Nova Scotia,2019,20
"Total employees, all industries",Nova Scotia,2020,21.99
"Total employees, all industries",Nova Scotia,2021,22
"Total employees, all industries",Ontario,2012,20.72
"Total employees, all industries",Ontario,2013,21
"Total employees, all industries",Ontario,2014,21.25
"Total employees, all industries",Ontario,2015,21.93
"Total employees, all industries",Ontario,2016,22.46
"Total employees, all industries",Ontario,2017,22.78
"Total employees, all industries",Ontario,2018,23.04
"Total employees, all industries",Ontario,2019,24.02
"Total employees, all industries",Ontario,2020,25.99
"Total employees, all industries",Ontario,2021,26.47
"Total employees, all industries",Prince Edward Island,2012,17
"Total employees, all industries",Prince Edward Island,2013,17.31
"Total employees, all industries",Prince Edward Island,2014,17.4
"Total employees, all industries",Prince Edward Island,2015,18.19
"Total employees, all industries",Prince Edward Island,2016,18.62
"Total employees, all industries",Prince Edward Island,2017,19
"Total employees, all industries",Prince Edward Island,2018,19.28
"Total employees, all industries",Prince Edward Island,2019,20
"Total employees, all industries",Prince Edward Island,2020,21.32
"Total employees, all industries",Prince Edward Island,2021,22
"Total employees, all industries",Quebec,2012,19.48
"Total employees, all industries",Quebec,2013,20
"Total employees, all industries",Quebec,2014,20
"Total employees, all industries",Quebec,2015,20.49
"Total employees, all industries",Quebec,2016,20.98
"Total employees, all industries",Quebec,2017,21.5
"Total employees, all industries",Quebec,2018,22
"Total employees, all industries",Quebec,2019,23
"Total employees, all industries",Quebec,2020,25
"Total employees, all industries",Quebec,2021,25
"Total employees, all industries",Saskatchewan,2012,20.69
"Total employees, all industries",Saskatchewan,2013,21.5
"Total employees, all industries",Saskatchewan,2014,22
"Total employees, all industries",Saskatchewan,2015,22.72
"Total employees, all industries",Saskatchewan,2016,23.72
"Total employees, all industries",Saskatchewan,2017,24
"Total employees, all industries",Saskatchewan,2018,24.14
"Total employees, all industries",Saskatchewan,2019,24.65
"Total employees, all industries",Saskatchewan,2020,26
"Total employees, all industries",Saskatchewan,2021,25.44
Transportation and warehousing,Alberta,2012,25
Transportation and warehousing,Alberta,2013,25.54
Transportation and warehousing,Alberta,2014,25.48
Transportation and warehousing,Alberta,2015,25.94
Transportation and warehousing,Alberta,2016,26
Transportation and warehousing,Alberta,2017,27.58
Transportation and warehousing,Alberta,2018,28
Transportation and warehousing,Alberta,2019,29.15
Transportation and warehousing,Alberta,2020,28.92
Transportation and warehousing,Alberta,2021,29.67
Transportation and warehousing,British Columbia,2012,24.04
Transportation and warehousing,British Columbia,2013,25
Transportation and warehousing,British Columbia,2014,25
Transportation and warehousing,British Columbia,2015,25.64
Transportation and warehousing,British Columbia,2016,26
Transportation and warehousing,British Columbia,2017,25.86
Transportation and warehousing,British Columbia,2018,26.24
Transportation and warehousing,British Columbia,2019,26.25
Transportation and warehousing,British Columbia,2020,28.76
Transportation and warehousing,British Columbia,2021,28.06
Transportation and warehousing,Canada,2012,22
Transportation and warehousing,Canada,2013,22.02
Transportation and warehousing,Canada,2014,22
Transportation and warehousing,Canada,2015,23
Transportation and warehousing,Canada,2016,23.42
Transportation and warehousing,Canada,2017,24
Transportation and warehousing,Canada,2018,24
Transportation and warehousing,Canada,2019,24.2
Transportation and warehousing,Canada,2020,25
Transportation and warehousing,Canada,2021,26
Transportation and warehousing,Manitoba,2012,20.1
Transportation and warehousing,Manitoba,2013,20.7
Transportation and warehousing,Manitoba,2014,20.98
Transportation and warehousing,Manitoba,2015,21.9
Transportation and warehousing,Manitoba,2016,22
Transportation and warehousing,Manitoba,2017,22.68
Transportation and warehousing,Manitoba,2018,23.08
Transportation and warehousing,Manitoba,2019,23
Transportation and warehousing,Manitoba,2020,24.46
Transportation and warehousing,Manitoba,2021,24.62
Transportation and warehousing,New Brunswick,2012,17.92
Transportation and warehousing,New Brunswick,2013,18.5
Transportation and warehousing,New Brunswick,2014,18.39
Transportation and warehousing,New Brunswick,2015,19
Transportation and warehousing,New Brunswick,2016,18.8
Transportation and warehousing,New Brunswick,2017,18.94
Transportation and warehousing,New Brunswick,2018,19.77
Transportation and warehousing,New Brunswick,2019,20
Transportation and warehousing,New Brunswick,2020,21
Transportation and warehousing,New Brunswick,2021,20.69
Transportation and warehousing,Newfoundland and Labrador,2012,22.27
Transportation and warehousing,Newfoundland and Labrador,2013,22.32
